pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width
SRO:ASC01_B1,SRO:ASC01_B1_TOP,SRO:ASC01_B1_BOT,5,1,,29,,,
SRO:PAS_01,SRO:B,SRO:ASC01_B1_TOP,1,1,3.0,2,,,
SRO:PAS_02,SRO:A,SRO:PLA03_TOP,1,1,3.0,2,,,
SRO:PAS_03,SRO:D,SRO:PLA04_TOP,1,1,3.0,2,,,
SRO:PAS_04,SRO:C,SRO:PLA05_TOP,1,1,3.0,2,,,
SRO:PAS_05,SRO:PLA01_BOT,SRO:L4A_V1_BA_01,1,1,10.0,7,,,
SRO:PAS_06,SRO:PLA02_BOT,SRO:L4A_V2_BA_03,1,1,6.6,4,,,
SRO:PAS_07,SRO:ASC01_B1_BOT,SRO:ZNP_09,1,1,6.7,4,,,
SRO:PAS_08,SRO:PLA05_BOT,SRO:ZNP_10,1,1,6.8,4,,,
SRO:PAS_10,SRO:ZNP_08,SRO:ZNP_03,1,1,4.1,2,,,
SRO:PAS_11,SRO:PLA04_BOT,SRO:ZNP_11,1,1,4.45,3,,,
SRO:PAS_12,SRO:PLA03_BOT,SRO:ZNP_08,1,1,4.4,3,,,
SRO:BU,SRO:ZNP_03,SRO:ZP_01,6,0,1.6,4,,,
SRO:ESCN_A1,SRO:ESCN_A1_TOP,SRO:ESCN_A1_BOT,2,1,,8,-28,,
SRO:ESCN_B1,SRO:ESCN_B1_TOP,SRO:ESCN_B1_BOT,2,1,,8,-28,,
SRO:ESCN_C1,SRO:ESCN_C1_TOP,SRO:ESCN_C1_BOT,2,1,,8,-28,,
SRO:ESCN_D1,SRO:ESCN_D1_TOP,SRO:ESCN_D1_BOT,2,1,,8,-28,,
SRO:ESCN_01,SRO:ESCN_01_TOP,SRO:ESCN_01_BOT,2,1,,7,-25,,
SRO:ESCN_02,SRO:ESCN_02_TOP,SRO:ESCN_02_BOT,2,1,,7,-25,,
SRO:ESCN_03,SRO:ESCN_03_TOP,SRO:ESCN_03_BOT,2,1,,7,-25,,
SRO:ESCN_04,SRO:ESCN_04_TOP,SRO:ESCN_04_BOT,2,1,,7,-25,,
SRO:PAS_13,SRO:A,SRO:ESCN_A1_TOP,1,1,3.0,2,,,
SRO:PAS_14,SRO:B,SRO:ESCN_B1_TOP,1,1,3.0,2,,,
SRO:PAS_15,SRO:D,SRO:ESCN_D1_TOP,1,1,3.0,2,,,
SRO:PAS_16,SRO:C,SRO:ESCN_C1_TOP,1,1,3.0,2,,,
SRO:PAS_17,SRO:ESCN_B1_BOT,SRO:ZNP_09,1,1,2.9,2,,,
SRO:PAS_18,SRO:ESCN_C1_BOT,SRO:ZNP_10,1,1,2.8,2,,,
SRO:PAS_20,SRO:ESCN_A1_BOT,SRO:ZNP_08,1,1,3.1,2,,,
SRO:PAS_21,SRO:ZP_01,SRO:ESCN_01_TOP,1,1,6.2,4,,,
SRO:PAS_22,SRO:ZP_01,SRO:ESCN_02_TOP,1,1,6.2,4,,,
SRO:PAS_23,SRO:ESCN_01_BOT,SRO:L4A_V1_BA_01,1,1,3.0,2,,,
SRO:PAS_24,SRO:ESCN_02_BOT,SRO:L4A_V2_BA_03,1,1,15.0,10,,,
SRO:PAS_25,SRO:L4A_V1_BA_01,SRO:ESCN_03_BOT,1,1,3.0,2,,,
SRO:PAS_26,SRO:L4A_V2_BA_03,SRO:ESCN_04_BOT,1,1,5.0,3,,,
SRO:PAS_27,SRO:ZNP_04,SRO:ZNP_01,1,1,3.2,2,,,
SRO:PAS_28,SRO:ZNP_05,SRO:ZNP_01,1,1,3.2,2,,,
SRO:PAS_29,SRO:ZNP_06,SRO:ZNP_02,1,1,3.2,2,,,
SRO:PAS_30,SRO:ZNP_07,SRO:ZNP_02,1,1,3.2,2,,,
SRO:PDS_01,SRO:ZP_02,SRO:ZNP_04,7,0,1.6,5,,,
