route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name,wheelchair_accessible,bikes_allowed
L5,V,DV_L5_520_193854_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-520-193854-V2,1,0
L5,V,DV_L5_520_203044_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-520-203044-V1,1,0
L5,V,DV_L5_520_212209_V2,Plaza de Maipú,1,L5-R,DV5-520-212209-V2,1,0
L5,V,DV_L5_520_221559_V1,Vicente Valdés,0,L5-I,DV5-520-221559-V1,1,0
L5,V,DV_L5_521_152003_V1,Vicente Valdés,0,L5-I,DV5-521-152003-V1,1,0
L5,V,DV_L5_521_161355_V2,Plaza de Maipú,1,L5-R,DV5-521-161355-V2,1,0
L5,V,DV_L5_521_170654_V1,Vicente Valdés,0,L5-I,DV5-521-170654-V1,1,0
L5,V,DV_L5_521_175909_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-521-175909-V2,1,0
L5,V,DV_L5_521_185009_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-521-185009-V1,1,0
L5,V,DV_L5_521_194209_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-521-194209-V2,1,0
L5,V,DV_L5_521_203459_V1,Vicente Valdés,0,L5-I,DV5-521-203459-V1,1,0
L5,V,DV_L5_521_212754_V2,Plaza de Maipú,1,L5-R,DV5-521-212754-V2,1,0
L5,V,DV_L5_521_222144_V1,Vicente Valdés,0,L5-I,DV5-521-222144-V1,1,0
L5,V,DV_L5_522_054750_V2,Plaza de Maipú,1,L5-R,DV5-522-054750-V2,1,0
L5,V,DV_L5_522_064106_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-522-064106-V1,1,0
L5,V,DV_L5_522_073155_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-522-073155-V2,1,0
L5,V,DV_L5_522_082226_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-522-082226-V1,1,0
L5,V,DV_L5_523_064346_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-523-064346-V1,1,0
L5,V,DV_L5_523_073435_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-523-073435-V2,1,0
L5,V,DV_L5_523_082506_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-523-082506-V1,1,0
L5,V,DV_L5_523_091515_V2,Plaza de Maipú,1,L5-R,DV5-523-091515-V2,1,0
L5,V,DV_L5_523_100906_V1,Vicente Valdés,0,L5-I,DV5-523-100906-V1,1,0
L5,V,DV_L5_523_110155_V2,Plaza de Maipú,1,L5-R,DV5-523-110155-V2,1,0
L5,V,DV_L5_523_115326_V1,Vicente Valdés,0,L5-I,DV5-523-115326-V1,1,0
L5,V,DV_L5_523_124525_V2,Plaza de Maipú,1,L5-R,DV5-523-124525-V2,1,0
L5,V,DV_L5_523_133656_V1,Vicente Valdés,0,L5-I,DV5-523-133656-V1,1,0
L5,V,DV_L5_523_142855_V2,Plaza de Maipú,1,L5-R,DV5-523-142855-V2,1,0
L5,V,DV_L5_523_152330_V1,Vicente Valdés,0,L5-I,DV5-523-152330-V1,1,0
L5,V,DV_L5_523_161655_V2,Plaza de Maipú,1,L5-R,DV5-523-161655-V2,1,0
L5,V,DV_L5_523_170954_V1,Vicente Valdés,0,L5-I,DV5-523-170954-V1,1,0
L5,V,DV_L5_523_180149_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-523-180149-V2,1,0
L5,V,DV_L5_523_185259_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-523-185259-V1,1,0
L5,V,DV_L5_523_194524_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-523-194524-V2,1,0
L5,V,DV_L5_524_180429_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-524-180429-V2,1,0
L5,V,DV_L5_524_185549_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-524-185549-V1,1,0
L5,V,DV_L5_525_055050_V2,Plaza de Maipú,1,L5-R,DV5-525-055050-V2,1,0
L5,V,DV_L5_525_064626_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-525-064626-V1,1,0
L5,V,DV_L5_525_073715_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-525-073715-V2,1,0
L5,V,DV_L5_525_082746_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-525-082746-V1,1,0
L5,V,DV_L5_525_091835_V2,Plaza de Maipú,1,L5-R,DV5-525-091835-V2,1,0
L5,V,DV_L5_525_101236_V1,Vicente Valdés,0,L5-I,DV5-525-101236-V1,1,0
L5,V,DV_L5_525_110545_V2,Plaza de Maipú,1,L5-R,DV5-525-110545-V2,1,0
L5,V,DV_L5_525_115716_V1,Vicente Valdés,0,L5-I,DV5-525-115716-V1,1,0
L5,V,DV_L5_525_124915_V2,Plaza de Maipú,1,L5-R,DV5-525-124915-V2,1,0
L5,V,DV_L5_525_134046_V1,Vicente Valdés,0,L5-I,DV5-525-134046-V1,1,0
L5,V,DV_L5_525_143245_V2,Plaza de Maipú,1,L5-R,DV5-525-143245-V2,1,0
L5,V,DV_L5_525_152657_V1,Vicente Valdés,0,L5-I,DV5-525-152657-V1,1,0
L5,V,DV_L5_525_161955_V2,Plaza de Maipú,1,L5-R,DV5-525-161955-V2,1,0
L5,V,DV_L5_525_171254_V1,Vicente Valdés,0,L5-I,DV5-525-171254-V1,1,0
L5,V,DV_L5_525_180709_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-525-180709-V2,1,0
L5,V,DV_L5_525_185839_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-525-185839-V1,1,0
L5,V,DV_L5_525_194839_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-525-194839-V2,1,0
L5,V,DV_L5_525_203959_V1,Vicente Valdés,0,L5-I,DV5-525-203959-V1,1,0
L5,V,DV_L5_525_213339_V2,Plaza de Maipú,1,L5-R,DV5-525-213339-V2,1,0
L5,V,DV_L5_525_222729_V1,Vicente Valdés,0,L5-I,DV5-525-222729-V1,1,0
L5,V,DV_L5_526_055350_V2,Plaza de Maipú,1,L5-R,DV5-526-055350-V2,1,0
L5,V,DV_L5_526_064906_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-526-064906-V1,1,0
L5,V,DV_L5_526_073955_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-526-073955-V2,1,0
L5,V,DV_L5_526_083026_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-526-083026-V1,1,0
L5,V,DV_L5_526_092155_V2,Plaza de Maipú,1,L5-R,DV5-526-092155-V2,1,0
L5,V,DV_L5_526_101606_V1,Vicente Valdés,0,L5-I,DV5-526-101606-V1,1,0
L5,V,DV_L5_526_110935_V2,Plaza de Maipú,1,L5-R,DV5-526-110935-V2,1,0
L5,V,DV_L5_526_120106_V1,Vicente Valdés,0,L5-I,DV5-526-120106-V1,1,0
L5,V,DV_L5_526_125305_V2,Plaza de Maipú,1,L5-R,DV5-526-125305-V2,1,0
L5,V,DV_L5_526_134436_V1,Vicente Valdés,0,L5-I,DV5-526-134436-V1,1,0
L5,V,DV_L5_526_143635_V2,Plaza de Maipú,1,L5-R,DV5-526-143635-V2,1,0
L5,V,DV_L5_526_153024_V1,Vicente Valdés,0,L5-I,DV5-526-153024-V1,1,0
L5,V,DV_L5_526_162255_V2,Plaza de Maipú,1,L5-R,DV5-526-162255-V2,1,0
L5,V,DV_L5_526_171554_V1,Vicente Valdés,0,L5-I,DV5-526-171554-V1,1,0
L5,V,DV_L5_526_180949_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-526-180949-V2,1,0
L5,V,DV_L5_526_190129_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-526-190129-V1,1,0
L5,V,DV_L5_526_195154_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-526-195154-V2,1,0
L5,V,DV_L5_527_055650_V2,Plaza de Maipú,1,L5-R,DV5-527-055650-V2,1,0
L5,V,DV_L5_527_065146_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-527-065146-V1,1,0
L5,V,DV_L5_527_074235_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-527-074235-V2,1,0
L5,V,DV_L5_527_083306_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-527-083306-V1,1,0
L5,V,DV_L5_527_092515_V2,Plaza de Maipú,1,L5-R,DV5-527-092515-V2,1,0
L5,V,DV_L5_527_101936_V1,Vicente Valdés,0,L5-I,DV5-527-101936-V1,1,0
L5,V,DV_L5_527_111325_V2,Plaza de Maipú,1,L5-R,DV5-527-111325-V2,1,0
L5,V,DV_L5_527_120456_V1,Vicente Valdés,0,L5-I,DV5-527-120456-V1,1,0
L5,V,DV_L5_527_125655_V2,Plaza de Maipú,1,L5-R,DV5-527-125655-V2,1,0
L5,V,DV_L5_527_134826_V1,Vicente Valdés,0,L5-I,DV5-527-134826-V1,1,0
L5,V,DV_L5_527_144025_V2,Plaza de Maipú,1,L5-R,DV5-527-144025-V2,1,0
L5,V,DV_L5_527_153339_V1,Vicente Valdés,0,L5-I,DV5-527-153339-V1,1,0
L5,V,DV_L5_527_162555_V2,Plaza de Maipú,1,L5-R,DV5-527-162555-V2,1,0
L5,V,DV_L5_527_171854_V1,Vicente Valdés,0,L5-I,DV5-527-171854-V1,1,0
L5,V,DV_L5_527_181229_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-527-181229-V2,1,0
L5,V,DV_L5_527_190419_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-527-190419-V1,1,0
L5,V,DV_L5_527_195509_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-527-195509-V2,1,0
L5,V,DV_L5_527_204459_V1,Vicente Valdés,0,L5-I,DV5-527-204459-V1,1,0
L5,V,DV_L5_528_055950_V2,Plaza de Maipú,1,L5-R,DV5-528-055950-V2,1,0
L5,V,DV_L5_528_065426_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-528-065426-V1,1,0
